,year,precipitation
0,1874,18.4
1,1875,22.7
2,1876,15.5
3,1877,25.6
4,1878,24.3
5,1879,20.2
6,1880,33.2
7,1881,33.4
8,1882,22.8
9,1883,20.0
10,1884,26.3
11,1885,37.3
12,1886,21.4
13,1887,20.0
14,1888,27.2
15,1889,27.3
16,1890,21.0
17,1891,30.0
18,1892,31.6
19,1893,45.0
20,1894,31.0
21,1895,27.8
22,1896,25.6
23,1897,29.3
24,1898,31.4
25,1899,19.7
26,1900,32.7
27,1901,28.0
28,1902,14.8
29,1903,31.7
30,1904,21.5
31,1905,34.5
32,1906,32.4
33,1907,24.5
34,1908,19.6
35,1909,30.4
36,1910,23.7
37,1911,28.9
38,1912,41.0
39,1913,31.8
40,1914,28.3
41,1915,24.2
42,1916,39.1
43,1917,29.3
44,1918,20.6
45,1919,31.6
46,1920,33.0
47,1921,25.7
48,1922,40.1
49,1923,25.5
50,1924,20.4
51,1925,24.8
52,1926,21.5
53,1927,31.0
54,1928,26.9
55,1929,29.7
56,1930,39.8
57,1931,76.8
58,1932,41.2
59,1933,42.0
60,1934,50.2
61,1935,21.5
62,1936,32.0
63,1937,25.2
64,1938,37.0
65,1939,22.8
66,1940,27.6
67,1941,23.0
68,1942,32.2
69,1943,23.0
70,1944,24.2
71,1945,27.6
72,1946,37.0
73,1947,21.0
74,1948,21.0
75,1949,38.2
76,1950,41.0
77,1951,25.6
78,1952,26.4
79,1953,18.6
80,1954,47.0
81,1955,42.4
82,1956,34.8
83,1957,22.8
84,1958,38.0
85,1959,39.2
86,1960,42.0
87,1961,22.9
88,1962,19.2
89,1963,35.2
90,1964,21.5
91,1965,37.4
92,1966,31.3
93,1967,61.2
94,1968,29.4
95,1969,25.8
96,1970,29.2
97,1971,20.2
98,1972,32.9
99,1973,32.4
100,1974,36.2
101,1975,26.7
102,1976,29.8
103,1977,19.8
104,1978,18.4
105,1979,32.7
106,1980,21.4
107,1981,42.0
108,1982,28.2
109,1983,20.1
110,1984,45.1
111,1985,27.5
112,1986,48.3
113,1987,42.3
114,1988,17.0
115,1989,37.5
116,1990,33.7
117,1991,33.0
118,1992,32.6
119,1993,44.5
120,1994,38.2
121,1995,23.6
122,1996,22.2
123,1997,32.0
124,1998,29.5
125,1999,21.3
126,2000,26.3
127,2001,39.6
128,2002,39.7
129,2003,33.5
130,2004,23.7
131,2005,24.5
132,2006,26.8
133,2007,41.8
134,2008,32.2
135,2009,43.8
136,2010,68.0
137,2011,135.4
138,2012,21.6
139,2013,25.7
140,2014,126.7
141,2015,33.7
142,2016,24.3
143,2017,38.8
144,2018,15.6
145,2019,34.1
1,2021,42.63
2,2022,27.51
3,2023,46.0
4,2024,26.0
5,2025,35.5
