,year,precipitation
0,1874,24.1
1,1875,33.8
2,1876,26.5
3,1877,35.2
4,1878,32.2
5,1879,34.5
6,1880,46.7
7,1881,53.7
8,1882,42.6
9,1883,59.1
10,1884,28.5
11,1885,19.1
12,1886,17.7
13,1887,24.6
14,1888,99.3
15,1889,68.7
16,1890,44.7
17,1891,57.0
18,1892,10.4
19,1893,30.2
20,1894,30.0
21,1895,44.2
22,1896,52.8
23,1897,30.0
24,1898,30.8
25,1899,39.0
26,1900,37.1
27,1901,50.7
28,1902,21.5
29,1903,30.2
30,1904,24.5
31,1905,40.3
32,1906,84.7
33,1907,33.5
34,1908,32.5
35,1909,23.4
36,1910,29.3
37,1911,24.0
38,1912,29.6
39,1913,27.6
40,1914,30.0
41,1915,25.9
42,1916,27.3
43,1917,24.6
44,1918,32.9
45,1919,19.7
46,1920,23.2
47,1921,22.4
48,1922,26.9
49,1923,34.0
50,1924,22.2
51,1925,16.5
52,1926,23.3
53,1927,65.7
54,1928,28.4
55,1929,18.8
56,1930,36.2
57,1931,53.8
58,1932,22.2
59,1933,29.6
60,1934,37.5
61,1935,30.2
62,1936,23.8
63,1937,19.9
64,1938,36.8
65,1939,22.4
66,1940,22.1
67,1941,24.0
68,1942,38.2
69,1943,40.4
70,1944,28.0
71,1945,53.2
72,1946,22.1
73,1947,17.4
74,1948,23.3
75,1949,32.8
76,1950,32.4
77,1951,27.4
78,1952,23.4
79,1953,35.1
80,1954,34.4
81,1955,28.3
82,1956,20.3
83,1957,29.7
84,1958,41.5
85,1959,76.5
86,1960,28.3
87,1961,22.7
88,1962,22.0
89,1963,43.4
90,1964,34.0
91,1965,24.5
92,1966,24.0
93,1967,42.0
94,1968,28.5
95,1969,25.1
96,1970,29.1
97,1971,33.0
98,1972,36.7
99,1973,32.0
100,1974,31.1
101,1975,23.7
102,1976,29.4
103,1977,34.5
104,1978,20.2
105,1979,39.1
106,1980,26.4
107,1981,54.6
108,1982,25.7
109,1983,35.1
110,1984,31.5
111,1985,29.3
112,1986,25.9
113,1987,24.9
114,1988,25.1
115,1989,23.3
116,1990,40.2
117,1991,15.2
118,1992,22.6
119,1993,29.1
120,1994,27.5
121,1995,29.5
122,1996,32.3
123,1997,31.9
124,1998,28.5
125,1999,45.2
126,2000,30.8
127,2001,25.2
128,2002,45.1
129,2003,35.1
130,2004,44.1
131,2005,23.3
132,2006,28.2
133,2007,25.4
134,2008,20.9
135,2009,27.3
136,2010,65.4
137,2011,24.1
138,2012,30.7
139,2013,28.5
140,2014,27.2
141,2015,28.7
142,2016,27.6
143,2017,38.3
144,2018,33.0
0,2019,37.8
1,2020,29.7
2,2021,27.32
3,2022,36.72
4,2023,32.18
5,2024,28.0
6,2025,27.6
